frame,rmsd,matched_atoms,has_clashes,num_clashes,success,output,error
frame_1396.pdb,2.7417585215688307,33,False,0,True,aligned_frames/aligned_frame_1396.pdb,
frame_140.pdb,3.7556968021364625,33,False,0,True,aligned_frames/aligned_frame_140.pdb,
frame_1400.pdb,3.1480857266742674,33,False,0,True,aligned_frames/aligned_frame_1400.pdb,
frame_1404.pdb,2.972823753922774,33,False,0,True,aligned_frames/aligned_frame_1404.pdb,
frame_1408.pdb,2.5785259435801753,33,False,0,True,aligned_frames/aligned_frame_1408.pdb,
frame_1412.pdb,2.33741285610677,33,False,0,True,aligned_frames/aligned_frame_1412.pdb,
frame_1416.pdb,2.0701857582594676,33,False,0,True,aligned_frames/aligned_frame_1416.pdb,
frame_1420.pdb,2.054167272624835,33,False,0,True,aligned_frames/aligned_frame_1420.pdb,
frame_1424.pdb,1.8533171684230312,33,False,0,True,aligned_frames/aligned_frame_1424.pdb,
frame_1428.pdb,1.237623597057736,33,False,0,True,aligned_frames/aligned_frame_1428.pdb,
frame_1432.pdb,1.237623597057736,33,False,0,True,aligned_frames/aligned_frame_1432.pdb,
frame_1436.pdb,1.188963278809489,33,False,0,True,aligned_frames/aligned_frame_1436.pdb,
frame_144.pdb,2.9793596440013412,33,False,0,True,aligned_frames/aligned_frame_144.pdb,
frame_1440.pdb,1.1967080402686112,33,False,0,True,aligned_frames/aligned_frame_1440.pdb,
frame_1444.pdb,1.1862139523357147,33,False,0,True,aligned_frames/aligned_frame_1444.pdb,
frame_1448.pdb,3.338568873573094,33,False,0,True,aligned_frames/aligned_frame_1448.pdb,
frame_1452.pdb,2.7383943710670424,33,False,0,True,aligned_frames/aligned_frame_1452.pdb,
frame_1456.pdb,2.452869984292199,33,False,0,True,aligned_frames/aligned_frame_1456.pdb,
frame_1460.pdb,1.9764436580828795,33,False,0,True,aligned_frames/aligned_frame_1460.pdb,
frame_1468.pdb,47.1834361228383,33,False,0,True,aligned_frames/aligned_frame_1468.pdb,
frame_1472.pdb,2.1157204087042745,33,False,0,True,aligned_frames/aligned_frame_1472.pdb,
frame_1476.pdb,2.1157204087042745,33,False,0,True,aligned_frames/aligned_frame_1476.pdb,
frame_148.pdb,2.043585692743679,33,False,0,True,aligned_frames/aligned_frame_148.pdb,
frame_1480.pdb,3.1952809246982237,33,False,0,True,aligned_frames/aligned_frame_1480.pdb,
frame_1484.pdb,3.1952809246982237,33,False,0,True,aligned_frames/aligned_frame_1484.pdb,
frame_1488.pdb,3.254157688476877,33,False,0,True,aligned_frames/aligned_frame_1488.pdb,
frame_1492.pdb,0.8342984805344208,33,False,0,True,aligned_frames/aligned_frame_1492.pdb,
frame_1496.pdb,1.644312360236963,33,False,0,True,aligned_frames/aligned_frame_1496.pdb,
frame_1500.pdb,1.4123269913086114,33,False,0,True,aligned_frames/aligned_frame_1500.pdb,
frame_1504.pdb,2.2728306272724823,33,False,0,True,aligned_frames/aligned_frame_1504.pdb,
frame_1508.pdb,2.4943127540905317,33,False,0,True,aligned_frames/aligned_frame_1508.pdb,
frame_1512.pdb,1.0040663657868512,33,False,0,True,aligned_frames/aligned_frame_1512.pdb,
frame_1516.pdb,2.195666128047014,33,False,0,True,aligned_frames/aligned_frame_1516.pdb,
frame_152.pdb,1.7885611652450548,33,False,0,True,aligned_frames/aligned_frame_152.pdb,
frame_1520.pdb,2.346371966634671,33,False,0,True,aligned_frames/aligned_frame_1520.pdb,
frame_1524.pdb,2.1853177120286302,33,False,0,True,aligned_frames/aligned_frame_1524.pdb,
frame_1528.pdb,2.064272748647445,33,False,0,True,aligned_frames/aligned_frame_1528.pdb,
frame_1532.pdb,1.876726742406259,33,False,0,True,aligned_frames/aligned_frame_1532.pdb,
frame_1536.pdb,2.903955435056742,33,False,0,True,aligned_frames/aligned_frame_1536.pdb,
frame_1540.pdb,1.4768841469193879,33,False,0,True,aligned_frames/aligned_frame_1540.pdb,
frame_1544.pdb,1.2267278114650666,33,False,0,True,aligned_frames/aligned_frame_1544.pdb,
frame_1548.pdb,2.2153021018582733,33,False,0,True,aligned_frames/aligned_frame_1548.pdb,
frame_1552.pdb,1.585633634452884,33,False,0,True,aligned_frames/aligned_frame_1552.pdb,
frame_1556.pdb,1.7351700637875225,33,False,0,True,aligned_frames/aligned_frame_1556.pdb,
frame_156.pdb,2.1108736758589135,33,False,0,True,aligned_frames/aligned_frame_156.pdb,
frame_1560.pdb,1.6448959900468592,33,False,0,True,aligned_frames/aligned_frame_1560.pdb,
frame_1564.pdb,2.364728197842766,33,False,0,True,aligned_frames/aligned_frame_1564.pdb,
frame_1568.pdb,2.4892630796642186,33,False,0,True,aligned_frames/aligned_frame_1568.pdb,
frame_1572.pdb,1.456120614928777,33,False,0,True,aligned_frames/aligned_frame_1572.pdb,
frame_1576.pdb,1.6655586168563545,33,False,0,True,aligned_frames/aligned_frame_1576.pdb,
frame_1580.pdb,2.4886958184234387,33,False,0,True,aligned_frames/aligned_frame_1580.pdb,
frame_1584.pdb,2.44305196612324,33,False,0,True,aligned_frames/aligned_frame_1584.pdb,
frame_1588.pdb,1.6299877924190962,33,False,0,True,aligned_frames/aligned_frame_1588.pdb,
frame_1592.pdb,2.09979325607361,33,False,0,True,aligned_frames/aligned_frame_1592.pdb,
frame_1596.pdb,2.3973359703712975,33,False,0,True,aligned_frames/aligned_frame_1596.pdb,
frame_16.pdb,3.1993434573319943,33,False,0,True,aligned_frames/aligned_frame_16.pdb,
frame_160.pdb,2.1108736758589135,33,False,0,True,aligned_frames/aligned_frame_160.pdb,
frame_1600.pdb,2.5704455103685415,33,False,0,True,aligned_frames/aligned_frame_1600.pdb,
frame_1604.pdb,2.3071136961832734,33,False,0,True,aligned_frames/aligned_frame_1604.pdb,
frame_1608.pdb,2.654279367180452,33,False,0,True,aligned_frames/aligned_frame_1608.pdb,
frame_1612.pdb,2.1019910630648404,33,False,0,True,aligned_frames/aligned_frame_1612.pdb,
frame_1616.pdb,2.4318830233279862,33,False,0,True,aligned_frames/aligned_frame_1616.pdb,
frame_1620.pdb,2.937888233489125,33,False,0,True,aligned_frames/aligned_frame_1620.pdb,
frame_1624.pdb,1.8415271087002594,33,False,0,True,aligned_frames/aligned_frame_1624.pdb,
frame_1628.pdb,2.9344456356313913,33,False,0,True,aligned_frames/aligned_frame_1628.pdb,
frame_1632.pdb,2.686117553957482,33,False,0,True,aligned_frames/aligned_frame_1632.pdb,
frame_1636.pdb,2.717612599593655,33,False,0,True,aligned_frames/aligned_frame_1636.pdb,
frame_164.pdb,1.6970677413318596,33,False,0,True,aligned_frames/aligned_frame_164.pdb,
frame_1640.pdb,2.1734704279542676,33,False,0,True,aligned_frames/aligned_frame_1640.pdb,
frame_1644.pdb,2.4926428239755993,33,False,0,True,aligned_frames/aligned_frame_1644.pdb,
frame_1648.pdb,2.1554193999102167,33,False,0,True,aligned_frames/aligned_frame_1648.pdb,
frame_1652.pdb,3.1143395792061797,33,False,0,True,aligned_frames/aligned_frame_1652.pdb,
frame_1656.pdb,2.1110468837587835,33,False,0,True,aligned_frames/aligned_frame_1656.pdb,
frame_1660.pdb,1.5945876764534084,33,False,0,True,aligned_frames/aligned_frame_1660.pdb,
